Colmun 1	Colmun 4	Colmun 5	Colmun 6	Colmun 7	Colmun 8	Colmun 9	Colmun 10	Colmun 11	Colmun 12	Colmun 17	Colmun 22	Colmun 23	Colmun 24	Colmun 25	Colmun 26	Colmun 27	Colmun 44	Colmun 45	Colmun 46	Colmun 47	Colmun 48	Colmun 49	Colmun 50	Colmun 51	Colmun 52	Colmun 53	Colmun 54	Colmun 55	Colmun 72	Colmun 73	Colmun 74	Colmun 75	Colmun 76	Colmun 77
20170407	LAN	NL	5	COL	NL	5	1	2	51	DEN02	30	5	2	0	0	1	24	6	2	0	2	0	30	6	1	0	1	2	27	12	0	0	1	0
20170407	CHN	NL	4	MIL	NL	5	1	2	64	MIL06	36	6	0	0	1	1	31	10	0	0	0	0	38	7	1	0	0	1	33	13	1	0	3	0
20170407	MIA	NL	4	NYN	NL	4	7	2	54	NYC20	37	11	0	1	1	7	27	10	0	0	1	0	35	9	2	0	1	2	27	11	0	0	1	0
20170407	WAS	NL	4	PHI	NL	4	7	6	54	PHI13	35	11	2	0	3	7	27	5	0	0	0	0	35	9	3	0	2	6	27	8	0	0	3	0
20170407	ATL	NL	4	PIT	NL	3	4	5	51	PIT08	36	10	3	0	0	4	24	9	2	0	0	0	35	11	1	0	2	5	27	12	1	0	2	0
20170407	SFN	NL	5	SDN	NL	5	6	7	51	SAN02	33	8	2	0	2	5	24	10	2	0	1	0	31	8	2	0	2	7	27	15	0	0	2	0
20170407	CIN	NL	4	SLN	NL	4	2	0	54	STL10	32	7	2	0	1	2	27	9	0	0	0	0	28	2	0	0	0	0	27	9	0	0	0	0
20170407	SEA	AL	5	ANA	AL	5	1	5	51	ANA01	33	5	0	0	0	1	24	8	1	0	2	0	33	11	1	0	2	5	27	5	1	0	0	0
20170407	NYA	AL	4	BAL	AL	3	5	6	51	BAL12	35	10	1	0	2	5	24	6	2	0	0	0	31	7	1	0	2	6	27	13	0	0	1	0
20170407	MIN	AL	4	CHA	AL	3	3	1	54	CHI12	33	6	3	0	0	2	27	2	0	0	0	0	34	7	1	0	0	1	27	11	3	0	2	0
20170407	BOS	AL	3	DET	AL	3	5	6	51	DET05	37	10	3	0	1	5	24	10	0	0	3	0	27	8	1	1	1	6	27	7	1	0	1	0
20170407	KCA	AL	4	HOU	AL	5	5	1	54	HOU03	35	10	2	0	1	4	27	10	0	0	3	0	30	6	1	0	0	1	27	11	1	1	2	0
20170407	TOR	AL	4	TBA	AL	5	8	10	51	STP01	38	11	4	0	2	8	24	3	0	0	1	0	35	13	4	0	1	10	27	8	1	1	0	0
20170407	OAK	AL	5	TEX	AL	4	5	10	51	ARL02	32	6	1	0	2	5	24	6	1	0	0	0	36	11	4	0	2	10	27	11	1	0	2	0
20170408	CLE	AL	5	ARI	NL	6	2	11	51	PHO01	33	7	3	0	0	2	24	8	0	0	1	0	38	15	3	1	1	10	27	13	0	0	1	0
20170408	LAN	NL	6	COL	NL	6	2	4	51	DEN02	32	7	2	0	1	2	24	9	0	0	0	0	33	9	1	1	3	4	27	13	0	0	1	0
20170408	CHN	NL	5	MIL	NL	6	11	6	54	MIL06	43	17	6	0	0	11	27	7	0	0	0	0	34	7	1	0	3	6	27	11	0	1	1	0
20170408	MIA	NL	5	NYN	NL	5	8	1	54	NYC20	39	13	1	1	1	8	27	7	0	0	0	0	31	3	0	0	1	1	27	7	1	0	0	0
20170408	WAS	NL	5	PHI	NL	5	3	17	51	PHI13	34	10	2	0	0	3	24	5	2	0	1	0	37	15	3	3	2	16	27	9	0	0	2	0
20170408	ATL	NL	5	PIT	NL	4	4	6	51	PIT08	34	11	2	1	0	4	24	14	2	3	2	0	33	10	1	0	0	3	27	13	1	0	4	0
20170408	SFN	NL	6	SDN	NL	6	1	2	51	SAN02	32	5	2	0	0	1	24	8	1	0	0	0	30	6	3	0	0	2	27	12	0	0	0	0
20170408	CIN	NL	5	SLN	NL	5	4	10	51	STL10	33	7	2	1	2	4	24	12	0	0	0	0	33	10	2	0	2	10	27	10	0	0	1	0
20170408	SEA	AL	6	ANA	AL	6	4	5	51	ANA01	33	8	2	0	1	4	24	9	1	0	1	0	35	13	2	0	2	5	27	8	0	0	1	0
20170408	NYA	AL	5	BAL	AL	4	4	5	51	BAL12	34	9	1	0	0	3	24	8	0	0	1	0	32	10	2	0	0	5	27	7	1	0	1	0
20170408	MIN	AL	5	CHA	AL	4	2	6	51	CHI12	35	9	4	0	1	2	24	13	2	0	3	0	30	8	1	1	2	5	27	11	0	0	1	0
20170408	BOS	AL	4	DET	AL	4	1	4	51	DET05	30	6	2	0	0	1	24	8	0	0	1	0	26	5	2	0	2	4	27	9	0	0	2	0
20170408	KCA	AL	5	HOU	AL	6	7	3	54	HOU03	32	7	1	0	3	7	27	16	0	0	3	0	32	9	1	0	1	3	27	14	1	0	1	0
20170408	TOR	AL	5	TBA	AL	6	2	3	65	STP01	35	5	0	0	0	2	32	10	1	0	0	0	39	8	1	0	0	3	33	14	0	0	2	0
20170408	OAK	AL	6	TEX	AL	5	6	1	54	ARL02	36	9	4	0	1	5	27	12	1	0	1	0	29	2	0	0	1	1	27	5	2	0	0	0
20170409	CLE	AL	6	ARI	NL	7	2	3	51	PHO01	34	7	1	0	0	1	24	4	1	0	0	0	32	8	1	0	1	2	27	14	3	0	1	0
20170409	LAN	NL	7	COL	NL	7	10	6	54	DEN02	40	15	3	1	1	9	27	6	1	0	0	0	35	9	0	1	1	6	27	9	2	1	2	0
20170409	CHN	NL	6	MIL	NL	7	7	4	54	MIL06	37	11	1	1	2	7	27	8	0	0	0	0	31	4	2	0	2	4	27	9	2	0	2	0
20170409	MIA	NL	6	NYN	NL	6	2	5	51	NYC20	30	5	2	0	0	2	24	7	1	0	0	0	33	8	0	0	2	4	27	12	1	0	0	0
20170409	WAS	NL	6	PHI	NL	6	3	4	53	PHI13	33	6	2	0	1	3	26	10	0	0	0	0	32	7	2	0	0	4	27	6	0	0	0	0
20170409	ATL	NL	6	PIT	NL	5	5	6	57	PIT08	41	13	2	0	3	5	27	12	2	1	2	0	33	11	2	0	1	5	30	13	0	0	0	0
20170409	SFN	NL	7	SDN	NL	7	5	3	54	SAN02	35	8	1	0	2	4	27	6	0	0	1	0	33	7	0	0	2	3	27	8	1	1	0	0
20170409	CIN	NL	6	SLN	NL	6	8	0	54	STL10	36	11	3	1	2	6	27	11	0	0	2	0	31	6	2	0	0	0	27	11	3	0	2	0
20170409	SEA	AL	7	ANA	AL	7	9	10	53	ANA01	33	7	2	0	2	8	26	14	0	0	2	0	34	11	2	0	2	10	27	9	2	0	0	0
20170409	NYA	AL	6	BAL	AL	5	7	3	54	BAL12	34	9	0	1	1	6	27	7	0	1	1	0	32	6	0	0	0	3	27	7	2	0	0	0
20170409	MIN	AL	6	CHA	AL	5	4	1	54	CHI12	34	8	2	0	2	4	27	8	0	0	0	0	32	5	0	0	0	1	27	8	0	1	1	0
20170409	BOS	AL	5	DET	AL	5	7	5	54	DET05	34	11	3	0	0	6	27	6	1	0	0	0	39	13	2	0	1	5	27	18	1	0	2	0
20170409	KCA	AL	6	HOU	AL	7	4	5	71	HOU03	43	9	0	0	3	4	35	17	0	0	3	0	41	12	0	0	3	5	36	10	0	0	0	0
20170409	TOR	AL	6	TBA	AL	7	2	7	51	STP01	29	3	2	0	1	2	24	11	1	0	2	0	32	9	0	1	3	7	27	12	0	0	1	0
20170409	OAK	AL	7	TEX	AL	6	1	8	51	ARL02	34	8	1	0	0	0	24	8	3	0	0	0	33	7	0	0	2	8	27	8	0	0	1	0
20170410	LAN	NL	8	CHN	NL	7	2	3	53	CHI11	32	6	1	0	0	1	26	6	2	0	0	0	32	6	2	0	0	3	27	7	3	0	2	0
20170410	SDN	NL	8	COL	NL	8	5	3	54	DEN02	32	9	1	1	2	5	27	9	0	0	3	0	32	8	1	0	2	3	27	11	0	0	3	0
20170410	NYN	NL	7	PHI	NL	7	4	3	54	PHI13	29	4	1	0	2	4	27	14	0	0	2	0	34	10	0	0	1	3	27	5	2	1	1	0
20170410	CIN	NL	7	PIT	NL	6	7	1	54	PIT08	35	8	0	0	2	7	27	9	0	0	0	0	31	4	0	0	0	1	27	9	2	0	0	0
20170410	ARI	NL	8	SFN	NL	8	1	4	51	SFO03	31	4	2	0	1	1	24	8	2	0	0	0	29	6	3	0	0	2	27	9	0	0	0	0
20170410	SLN	NL	7	WAS	NL	7	6	14	51	WAS11	39	10	1	0	1	6	24	5	1	0	1	0	40	19	4	0	0	14	27	9	4	0	2	0
20170410	BOS	AL	6	DET	AL	6	1	2	51	DET05	31	4	2	0	0	0	24	4	1	0	0	0	29	5	2	0	1	2	27	4	1	0	1	0
20170410	OAK	AL	8	KCA	AL	7	2	0	54	KAN06	32	6	1	0	1	2	27	8	1	0	1	0	29	3	0	0	0	0	27	8	0	0	1	0
20170410	TBA	AL	8	NYA	AL	7	1	8	51	NYC21	29	2	1	0	1	1	24	8	2	0	1	0	36	10	2	1	3	8	27	9	0	0	0	0
20170410	HOU	AL	8	SEA	AL	8	0	6	51	SEA03	32	6	1	0	0	0	24	6	1	0	1	0	32	11	4	0	0	5	27	8	0	0	1	0
20170411	SDN	NL	9	COL	NL	9	2	3	51	DEN02	31	5	0	1	1	2	24	6	2	0	0	0	29	4	1	0	3	3	27	8	0	0	0	0
20170411	ATL	NL	7	MIA	NL	7	4	8	51	MIA02	34	7	2	0	1	3	24	7	0	0	2	0	30	10	0	0	2	8	27	9	1	0	1	0
20170411	NYN	NL	8	PHI	NL	8	14	4	54	PHI13	47	20	7	0	7	14	27	11	0	0	0	0	35	8	2	0	1	4	27	4	0	0	0	0
20170411	CIN	NL	8	PIT	NL	7	6	2	54	PIT08	36	10	2	0	2	6	27	14	1	0	0	0	34	6	0	0	0	0	27	9	0	0	0	0
20170411	ARI	NL	9	SFN	NL	9	4	3	54	SFO03	35	9	1	1	0	4	27	6	0	0	1	0	36	10	3	0	0	3	27	6	0	0	0	0
20170411	SLN	NL	8	WAS	NL	8	3	8	51	WAS11	31	7	1	0	2	3	24	8	2	0	0	0	36	11	4	0	3	7	27	9	1	0	1	0
20170411	TEX	AL	7	ANA	AL	8	5	6	58	ANA01	39	10	1	0	2	5	28	12	2	0	2	0	39	12	4	0	2	6	30	9	1	0	1	0
20170411	BAL	AL	6	BOS	AL	7	1	8	51	BOS07	32	5	2	0	0	1	24	7	2	0	3	0	35	15	2	1	0	8	27	9	0	0	0	0
20170411	CHA	AL	6	CLE	AL	7	1	2	59	CLE08	35	6	3	0	1	1	29	10	1	0	2	0	31	5	3	0	1	2	30	11	0	0	0	0
20170411	MIN	AL	7	DET	AL	7	1	2	51	DET05	31	5	1	0	0	1	24	5	1	0	1	0	28	4	0	0	1	2	27	5	0	0	1	0
20170411	HOU	AL	9	SEA	AL	9	7	5	54	SEA03	39	14	2	0	1	7	27	9	1	0	1	0	33	9	4	0	0	4	27	11	0	0	1	0
20170411	MIL	NL	8	TOR	AL	7	4	3	54	TOR02	39	11	2	1	2	4	27	9	1	0	0	0	31	5	2	0	0	3	27	5	0	0	0	0
20170412	LAN	NL	9	CHN	NL	8	2	0	54	CHI11	32	5	1	0	1	1	27	13	1	0	3	0	28	5	0	0	0	0	27	8	0	0	1	0
20170412	SDN	NL	10	COL	NL	10	6	0	54	DEN02	32	8	2	0	1	6	27	6	0	0	1	0	29	3	2	0	0	0	27	15	1	0	3	0
20170412	ATL	NL	8	MIA	NL	8	5	4	54	MIA02	30	8	0	0	3	5	27	9	1	0	1	0	35	7	1	0	2	4	27	14	0	0	1	0
20170412	NYN	NL	9	PHI	NL	9	5	4	54	PHI13	30	6	1	0	1	5	27	14	0	0	1	0	32	6	1	0	1	4	27	10	0	0	1	0
20170412	CIN	NL	9	PIT	NL	8	9	2	54	PIT08	41	15	5	0	0	9	27	11	0	0	1	0	33	7	3	0	1	2	27	13	1	0	2	0
20170412	ARI	NL	10	SFN	NL	10	2	6	51	SFO03	34	8	1	1	0	2	24	4	2	1	0	0	35	9	3	1	0	6	27	9	1	0	0	0
20170412	SLN	NL	9	WAS	NL	9	6	1	54	WAS11	35	8	1	0	1	6	27	10	0	0	0	0	34	8	2	0	0	1	27	5	2	0	0	0
20170412	TEX	AL	8	ANA	AL	9	8	3	54	ANA01	37	11	0	2	3	8	27	8	1	0	0	0	32	6	3	0	1	3	27	10	0	0	1	0
20170412	BAL	AL	7	BOS	AL	8	12	5	54	BOS07	41	17	3	0	5	12	27	7	1	1	1	0	37	11	3	0	1	5	27	14	1	0	3	0
20170412	CHA	AL	7	CLE	AL	8	2	1	54	CLE08	31	4	1	0	0	2	27	7	1	0	0	0	30	3	2	0	0	1	27	9	1	0	1	0
20170412	MIN	AL	8	DET	AL	8	3	5	51	DET05	29	4	0	0	1	3	24	12	0	0	0	0	29	6	2	0	1	5	27	8	0	0	2	0
20170412	OAK	AL	9	KCA	AL	8	8	3	54	KAN06	35	12	4	0	0	8	27	9	1	0	1	0	35	8	3	0	1	3	27	9	0	0	2	0
20170412	TBA	AL	9	NYA	AL	8	4	8	51	NYC21	35	9	2	0	1	3	24	11	2	0	0	0	34	8	0	0	1	6	27	8	1	1	0	0
20170412	HOU	AL	10	SEA	AL	10	10	5	54	SEA03	39	16	3	0	0	9	27	8	1	0	0	0	37	9	1	0	2	5	27	18	0	0	2	0
20170412	MIL	NL	9	TOR	AL	8	2	0	54	TOR02	33	7	3	0	1	2	27	11	0	0	3	0	28	4	1	0	0	0	27	13	0	1	0	0
20170413	LAN	NL	10	CHN	NL	9	0	4	51	CHI11	32	6	2	0	0	0	24	8	0	0	1	0	29	8	1	0	2	4	27	12	0	0	1	0
20170413	MIL	NL	10	CIN	NL	10	5	1	54	CIN09	33	10	1	0	2	5	27	7	0	0	0	0	30	5	0	0	0	1	27	12	0	0	1	0
20170413	NYN	NL	10	MIA	NL	9	9	8	96	MIA02	62	16	1	1	4	9	48	14	1	0	0	0	57	12	1	0	1	8	48	15	0	0	1	0
20170413	COL	NL	11	SFN	NL	11	3	1	54	SFO03	34	7	0	0	1	3	27	15	0	0	2	0	29	5	0	0	0	1	27	3	0	0	0	0
20170413	TEX	AL	9	ANA	AL	10	8	3	54	ANA01	37	11	2	0	2	8	27	10	0	0	1	0	33	7	0	0	1	3	27	7	3	0	1	0
20170413	PIT	NL	9	BOS	AL	9	3	4	51	BOS07	32	7	2	0	1	2	24	8	0	0	0	0	31	8	3	0	0	4	27	7	1	0	0	0
20170413	CHA	AL	8	CLE	AL	9	10	4	54	CLE08	42	15	3	0	2	10	27	8	0	1	1	0	37	12	2	0	2	4	27	15	0	1	0	0
20170413	MIN	AL	9	DET	AL	9	11	5	54	DET05	37	11	1	0	3	11	27	5	0	0	1	0	35	9	1	1	2	5	27	8	0	0	0	0
20170413	OAK	AL	10	KCA	AL	9	1	3	51	KAN06	32	6	2	0	1	1	24	6	2	0	1	0	31	8	0	0	0	3	27	14	1	0	2	0
20170413	TBA	AL	10	NYA	AL	9	2	3	51	NYC21	33	7	0	0	1	2	24	12	0	0	1	0	29	7	2	0	2	3	27	6	0	0	0	0
20170413	BAL	AL	8	TOR	AL	9	2	1	54	TOR02	31	5	2	0	0	2	27	15	0	0	1	0	32	6	3	0	0	1	27	7	0	0	0	0
20170414	SDN	NL	11	ATL	NL	9	2	5	51	ATL03	30	6	0	0	0	2	24	8	1	0	2	0	31	9	2	0	1	4	27	10	0	0	2	0
20170414	PIT	NL	10	CHN	NL	10	4	2	54	CHI11	34	10	4	0	0	4	27	8	1	0	0	0	35	7	3	0	0	2	27	18	1	0	2	0
20170414	MIL	NL	11	CIN	NL	11	10	4	54	CIN09	38	12	4	1	1	10	27	10	1	0	0	0	35	8	0	0	2	3	27	11	0	0	1	0
20170414	ARI	NL	11	LAN	NL	11	1	7	51	LOS03	30	4	1	0	0	1	24	12	0	0	1	0	34	13	2	0	1	7	27	9	0	0	1	0
20170414	NYN	NL	11	MIA	NL	10	2	3	53	MIA02	31	7	0	0	1	2	26	9	1	0	2	0	34	10	1	0	0	3	27	9	0	0	1	0
20170414	COL	NL	12	SFN	NL	12	2	8	51	SFO03	32	6	0	0	0	1	24	8	1	0	0	0	36	11	0	0	2	7	27	9	1	0	2	0
20170414	PHI	NL	10	WAS	NL	10	2	3	57	WAS11	34	6	2	0	1	2	27	13	0	1	1	0	35	9	3	0	0	3	30	13	0	0	2	0
20170414	TBA	AL	11	BOS	AL	10	10	5	54	BOS07	39	12	3	1	4	10	27	9	1	0	0	0	40	14	3	0	0	5	27	12	0	0	0	0
20170414	DET	AL	10	CLE	AL	10	7	6	54	CLE08	37	11	2	0	2	7	27	12	1	1	0	0	37	8	2	0	1	6	27	10	1	0	2	0
20170414	ANA	AL	11	KCA	AL	10	1	7	51	KAN06	30	4	0	0	0	1	24	9	0	0	1	0	29	8	1	0	2	5	27	11	0	0	0	0
20170414	CHA	AL	9	MIN	AL	10	2	1	54	MIN04	31	7	2	0	1	2	27	16	0	1	1	0	31	6	3	0	0	1	27	14	0	0	1	0
20170414	SLN	NL	10	NYA	AL	10	3	4	51	NYC21	33	6	3	0	1	3	24	5	1	0	1	0	32	9	1	0	2	3	27	10	0	0	0	0
20170414	HOU	AL	11	OAK	AL	11	7	2	54	OAK01	37	10	3	0	1	5	27	12	1	0	1	0	34	7	2	0	2	2	27	8	2	0	1	0
20170414	TEX	AL	10	SEA	AL	11	1	2	51	SEA03	33	7	1	0	0	1	24	9	0	0	3	0	30	9	0	0	1	2	27	12	0	0	1	0
20170414	BAL	AL	9	TOR	AL	10	6	4	54	TOR02	35	9	3	0	4	5	27	5	1	0	1	0	37	10	1	0	1	4	27	10	1	0	2	0
20170415	SDN	NL	12	ATL	NL	10	2	4	51	ATL03	34	8	2	0	2	2	24	20	1	0	1	0	31	9	0	0	2	4	27	9	0	0	1	0
20170415	PIT	NL	11	CHN	NL	11	8	7	54	CHI11	36	10	0	1	4	8	27	11	1	1	0	0	37	9	3	1	2	7	27	11	0	0	1	0
20170415	MIL	NL	12	CIN	NL	12	5	7	51	CIN09	32	7	2	0	3	5	24	9	0	0	0	0	33	11	5	2	1	7	27	6	0	0	0	0
20170415	ARI	NL	12	LAN	NL	12	4	8	51	LOS03	34	5	1	0	1	4	24	11	2	0	0	0	34	11	4	0	2	7	27	8	3	0	0	0
20170415	NYN	NL	12	MIA	NL	11	4	5	51	MIA02	30	5	1	1	1	4	24	8	0	0	0	0	30	6	0	0	4	5	27	7	0	0	0	0
20170415	COL	NL	13	SFN	NL	13	5	0	54	SFO03	38	11	2	0	1	5	27	17	0	0	0	0	29	2	0	0	0	0	27	9	0	0	0	0
20170415	PHI	NL	11	WAS	NL	11	4	2	54	WAS11	32	6	1	0	1	4	27	8	0	0	0	0	31	4	1	0	1	2	27	12	0	0	1	0
20170415	TBA	AL	12	BOS	AL	11	1	2	51	BOS07	28	3	0	0	0	1	24	11	0	0	0	0	30	6	1	0	1	2	27	7	0	0	2	0
20170415	DET	AL	11	CLE	AL	11	6	13	51	CLE08	38	11	3	0	1	6	24	9	0	0	0	0	42	19	2	0	4	13	27	5	0	0	0	0
20170415	ANA	AL	12	KCA	AL	11	2	3	51	KAN06	33	6	0	0	0	2	24	5	0	0	1	0	29	6	0	0	2	3	27	10	0	0	0	0
20170415	CHA	AL	10	MIN	AL	11	0	6	51	MIN04	28	1	0	0	0	0	24	9	0	0	1	0	34	11	5	1	0	6	27	9	0	0	0	0
